AREA,MAJORAXIS,MINORAXIS,ECCENTRICITY,EQDIASQ,PERIMETER,SOLIDITY,ROUNDNESS,SHAPEFACTOR,COMPACTNESS,EXTENT
167,107.360595703125,46.30230712890625,0.950408399105072,212.63099670410156,199.96560668945312,0.07869934290647507,0.01844746619462967,0.05248264968395233,0.13582144677639008,0.04276568442583084
170,112.4741439819336,42.33845138549805,0.6826035976409912,216.45071411132812,205.86509704589844,0.08252426981925964,0.01711014285683632,0.0504072904586792,0.13080574572086334,0.039906103163957596
176,99.10601043701172,41.2855110168457,-1.4754024744033813,224.09014892578125,187.3970184326172,0.09876543283462524,0.022815123200416565,0.06297920644283295,0.1510467529296875,0.07682234793901443
157,98.78855895996094,38.387168884277344,0.5032351016998291,199.8986053466797,184.16659545898438,0.09429429471492767,0.02048313617706299,0.05816848948597908,0.14311932027339935,0.05097402632236481
152,102.00106048583984,40.564903259277344,0.8321828246116638,193.53240966796875,185.96560668945312,0.08641273528337479,0.018601343035697937,0.055231671780347824,0.13638673722743988,0.04308389872312546
176,108.26014709472656,43.73627471923828,0.43045827746391296,224.09014892578125,204.16659545898438,0.08614782243967056,0.019119897857308388,0.05305827409029007,0.13827471435070038,0.05053115263581276
151,89.77749633789062,42.79035949707031,1.212630033493042,192.25917053222656,172.12493896484375,0.09162621200084686,0.023853497579693794,0.06404706090688705,0.15444578230381012,0.06344538182020187
164,96.164306640625,39.52488708496094,-1.2706433534622192,208.811279296875,181.53915405273438,0.0993337407708168,0.022580115124583244,0.06253354996442795,0.15026681125164032,0.06518282741308212
190,108.36649322509766,53.075584411621094,1.473589301109314,241.91549682617188,210.3675994873047,0.07711038738489151,0.02060030587017536,0.05395177751779556,0.1435280740261078,0.060664113610982895
173,98.15789031982422,32.395511627197266,-1.4988478422164917,220.2704315185547,184.66908264160156,0.11712931841611862,0.022861555218696594,0.06374815106391907,0.15120038390159607,0.094021737575531
181,103.04339599609375,45.26250457763672,0.05721499025821686,230.4563446044922,197.63966369628906,0.08942687511444092,0.021704429760575294,0.058229122310876846,0.14732423424720764,0.07034590095281601
165,103.92105865478516,42.079586029052734,0.794304609298706,210.0845184326172,197.96560668945312,0.08371385186910629,0.019453015178442,0.05290714278817177,0.1394740641117096,0.04224270209670067
167,98.15606689453125,47.75035095214844,1.2697525024414062,212.63099670410156,189.7818145751953,0.08312593400478363,0.02206948958337307,0.05826626345515251,0.14855803549289703,0.059388335794210434
168,91.92402648925781,43.201637268066406,-0.4957123100757599,213.90423583984375,176.4092559814453,0.09744779765605927,0.025314033031463623,0.06783851981163025,0.15910384058952332,0.05618729069828987
191,106.37287902832031,51.89495086669922,1.5628845691680908,243.18873596191406,209.53916931152344,0.07935188710689545,0.021492239087820053,0.05466543138027191,0.1466023176908493,0.06420168280601501
151,99.95181274414062,35.42232131958008,0.946696937084198,192.25917053222656,183.72296142578125,0.09563014656305313,0.01924445852637291,0.05621600151062012,0.1387244015932083,0.04507462680339813
170,104.97512817382812,42.54891586303711,1.1311044692993164,216.45071411132812,198.16661071777344,0.08740359544754028,0.019642023369669914,0.05439986661076546,0.1401500105857849,0.05068574845790863
166,107.17503356933594,45.84644317626953,0.9795193076133728,211.35775756835938,199.13717651367188,0.07934990525245667,0.018400555476546288,0.0526033379137516,0.13564863801002502,0.0437302440404892
170,109.18125915527344,39.49420928955078,0.9750357270240784,216.45071411132812,203.9656219482422,0.08858780562877655,0.018157783895730972,0.051350515335798264,0.1347508281469345,0.04254254326224327
